identificador,idioma,texto
TXT00483,it,Ho molta fame.
TXT00018,es,Quiero escribir ahora.
TXT00506,es,Me llamo Ana.
TXT00091,pt,Posso trabalhar aqui?
TXT00138,pt,Preciso ligar hoje.
TXT00568,it,Mia sorella vive nel centro della città.
TXT00147,it,Voglio dormire adesso.
TXT00493,it,Quanto costa questo?
TXT00491,es,¿CUÁNTO CUESTA ESTO?
TXT00648,it,Come stai oggi? Buongiorno.
TXT00059,es,Necesito pagar hoy.
TXT00734,fr,Je ne sais pas si je pourrai arriver avant dix heures du soir. Le train arrive à huit heures du matin.
TXT00097,pt,Posso ligar aqui?
TXT00508,it,Mi chiamo Ana.
TXT00361,es,Hola.
TXT00124,pt,Vou ler amanhã.
TXT00271,fr,JE DOIS PAYER AUJOURD'HUI.
TXT00718,it,Arrivederci. Quanto costa questo?
TXT00694,fr,Comment ça va aujourd'hui? Où sont les toilettes?
TXT00075,pt,Enviar.
TXT00281,en,I have to travel this week.
TXT00084,pt,Enviar!!
TXT00213,fr,Payer.
TXT00241,fr,Je dois conduire aujourd'hui.
TXT00693,it,Come stai oggi? Dov'è il bagno?
TXT00357,pt,Olá.
TXT00249,fr,Je veux parler maintenant.
TXT00009,es,Necesito escribir hoy.
TXT00428,it,Come stai oggi?
TXT00216,fr,J'aimerais écrire bientôt!!
TXT00212,fr,Où puis-je manger?
TXT00626,es,No sé si podré llegar antes de las diez de la noche.
TXT00257,fr,Puis-je attendre ici?
TXT00545,en,I don't speak the language well.
TXT00210,it,Viaggiare.
TXT00635,en,I don't know if I can arrive before ten in the evening.
TXT00003,es,Necesito enviar hoy.
TXT00528,it,Fa molto freddo oggi.
TXT00614,fr,J'ai une réunion importante lundi après-midi.
TXT00156,it,Vado a giocare domani.
TXT00649,fr,Comment ça va aujourd'hui? Bonjour.
TXT00034,es,No quiero leer más.
TXT00475,en,I am very hungry.
TXT00371,es,Buenos días.
TXT00011,es,Voy a leer mañana.
TXT00723,it,Quanto costa questo? Fa molto freddo oggi.
TXT00578,it,Ieri sono andato al mercato per comprare frutta fresca.
TXT00153,it,Devo scrivere oggi.
TXT00064,es,¿Dónde puedo reservar?
TXT00382,pt,Obrigado!!
TXT00607,pt,Tenho uma reunião importante na segunda à tarde.
TXT00111,pt,Gostaria de comprar em breve.
TXT00040,es,Conducir.
TXT00014,es,Tengo que trabajar esta semana.
TXT00587,pt,Ontem fui ao mercado para comprar fruta fresca.
TXT00392,pt,Obrigado.
TXT00046,es,¿Puedo enviar aquí?
TXT00150,it,Mi piacerebbe viaggiare presto.
TXT00507,pt,Meu nome é Ana.
TXT00692,pt,Como você está hoje? Onde fica o banheiro?
TXT00529,fr,Il fait très froid aujourd'hui.
TXT00643,it,Buongiorno. Non capisco niente.
TXT00688,it,IL RISTORANTE ALL'ANGOLO È MOLTO BUONO ED ECONOMICO. HO UNA RIUNIONE IMPORTANTE LUNEDÌ POMERIGGIO.
TXT00584,fr,Hier je suis allé au marché pour acheter des fruits frais...
TXT00207,it,Devo viaggiare oggi.
TXT00208,it,Voglio comprare adesso.
TXT00569,fr,Ma sœur habite au centre-ville.
TXT00162,it,Devo pagare questa settimana.
TXT00199,it,Vado a guidare domani.
TXT00697,pt,Bom dia. Quanto custa isto?
TXT00042,es,ME GUSTARÍA VIAJAR PRONTO.
TXT00231,fr,Je ne veux plus jouer.
TXT00299,en,Speak.
TXT00442,pt,Não entendo nada.
TXT00385,en,Thanks.
TXT00372,pt,Bom dia.
TXT00705,en,How much is this? Good morning.
TXT00497,pt,QUANTO CUSTA ISTO?
TXT00592,pt,O restaurante da esquina é muito bom e barato.
TXT00288,en,I would like to call soon!
TXT00606,es,TENGO UNA REUNIÓN IMPORTANTE EL LUNES POR LA TARDE.
TXT00388,it,Grazie.
TXT00002,es,Trabajar.
TXT00108,pt,Quero reservar agora.
TXT00116,pt,Ler.
TXT00167,it,Posso chiamare qui?
TXT00515,en,My name is Ana.
TXT00462,pt,Onde fica o banheiro?...
TXT00179,it,Non voglio studiare più.
TXT00564,fr,Ma sœur habite au centre-ville.
TXT00613,it,Ho una riunione importante lunedì pomeriggio.
TXT00337,en,I want to book now.
TXT00610,en,I have an important meeting on Monday afternoon.
TXT00276,fr,J'aimerais marcher bientôt.
TXT00101,pt,Posso dirigir aqui?
TXT00642,pt,Bom dia. Não entendo nada.
TXT00051,es,Quiero pagar ahora.
TXT00209,it,Posso mangiare qui?
TXT00310,en,I will send tomorrow.
TXT00556,es,El tren llega a las ocho de la mañana.
TXT00151,it,Comprare.
TXT00242,fr,Je dois étudier cette semaine.
TXT00530,en,It is very cold today.
TXT00669,fr,Comment ça va aujourd'hui? Au revoir.
TXT00275,fr,Je veux voyager maintenant.
TXT00085,pt,Quero falar agora.
TXT00110,pt,Comprar.
TXT00401,es,Lo siento.
TXT00129,pt,Não quero ler mais.
TXT00307,en,Where can I send?
TXT00301,en,I will drive tomorrow.
TXT00714,fr,Merci. Bonjour.
TXT00347,en,I would like to play soon.
TXT00490,en,How much is this?
TXT00615,en,I have an important meeting on Monday afternoon.
TXT00033,es,Me gustaría dormir pronto.
TXT00294,en,I would like to cancel soon.
TXT00532,pt,Não falo bem o idioma.
TXT00168,it,Posso viaggiare qui?
TXT00262,fr,J'aimerais lire bientôt.
TXT00416,es,Adiós.
TXT00674,fr,Désolé. Je ne comprends rien.
TXT00699,fr,Bonjour. Combien ça coûte?
TXT00171,it,Chiamare.
TXT00451,es,No entiendo nada.
TXT00057,es,Me gustaría caminar pronto.
TXT00125,pt,Tenho que dormir esta semana.
TXT00344,en,I need to send today.
TXT00464,fr,Où sont les toilettes?
TXT00696,es,Buenos días. ¿Cuánto cuesta esto?
TXT00631,es,No sé si podré llegar antes de las diez de la noche.
TXT00355,en,Hi.
TXT00514,fr,Je m'appelle Ana.
TXT00121,pt,Tenho que cancelar esta semana.
TXT00690,en,The restaurant on the corner is very good and cheap. I have an important meeting on Monday afternoon.
TXT00078,pt,QUERO DIRIGIR AGORA.
TXT00590,en,Yesterday I went to the market to buy fresh fruit.
TXT00096,pt,Não quero enviar mais.
TXT00431,es,¿Cómo estás hoy?
TXT00465,en,Where is the bathroom?
TXT00060,es,Necesito comprar hoy.
TXT00473,it,Ho molta fame.
TXT00618,it,Ho una riunione importante lunedì pomeriggio.
TXT00269,fr,Je dois attendre cette semaine.
TXT00291,en,I WANT TO TRAVEL NOW.
TXT00127,pt,Posso viajar aqui?
TXT00440,en,How are you today?!
TXT00433,it,Come stai oggi?
TXT00261,fr,Je veux payer maintenant.
TXT00191,it,Leggere.
TXT00565,en,My sister lives in the city centre.
TXT00521,es,Hace mucho frío hoy.
TXT00343,en,I have to sleep this week.
TXT00362,pt,Olá.
TXT00346,en,Can I cancel here?
TXT00038,es,No quiero enviar más.
TXT00426,es,¿Cómo estás hoy?
TXT00583,it,Ieri sono andato al mercato per comprare frutta fresca.
TXT00131,pt,Onde posso escrever?
TXT00397,pt,Desculpe.
TXT00333,en,I don't want to drive anymore.
TXT00166,it,Vado a dormire domani.
TXT00402,pt,Desculpe.
TXT00140,pt,Posso caminhar aqui?
TXT00065,es,Necesito cancelar hoy.
TXT00326,en,I don't want to eat anymore.
TXT00695,en,How are you today? Where is the bathroom?
TXT00012,es,¿Puedo dormir aquí?
TXT00380,en,Good morning.
TXT00006,es,Tengo que jugar esta semana.
TXT00638,it,Mia sorella vive nel centro della città. Ho una riunione importante lunedì pomeriggio.
TXT00439,fr,Comment ça va aujourd'hui?
TXT00062,es,¿Puedo esperar aquí?
TXT00443,it,NON CAPISCO NIENTE.
TXT00232,fr,Envoyer.
TXT00021,es,Voy a llamar mañana.
TXT00175,it,Mi piacerebbe parlare presto.
TXT00639,fr,Ma sœur habite au centre-ville. J'ai une réunion importante lundi après-midi.
TXT00302,en,WORK.
TXT00725,en,How much is this? It is very cold today.
TXT00296,en,I don't want to buy anymore.
TXT00139,pt,Posso falar aqui?
TXT00193,it,Dove posso scrivere?
TXT00504,fr,Je m'appelle Ana.
TXT00557,pt,O trem chega às oito da manhã.
TXT00189,it,Posso camminare qui?
TXT00381,es,Gracias.
TXT00687,pt,O restaurante da esquina é muito bom e barato. Tenho uma reunião importante na segunda à tarde.
TXT00468,it,Dov'è il bagno?
TXT00186,it,Posso guidare qui?
TXT00215,fr,J'aimerais payer bientôt.
TXT00007,es,Voy a comer mañana.
TXT00495,en,How much is this?!!
TXT00660,en,My name is Ana. How much is this?
TXT00010,es,Me gustaría reservar pronto.
TXT00390,en,Thanks.
TXT00373,it,Buongiorno.
TXT00211,fr,Je veux marcher maintenant.
TXT00661,es,No entiendo nada. Hace mucho frío hoy!
TXT00447,pt,Não entendo nada.
TXT00634,fr,Je ne sais pas si je pourrai arriver avant dix heures du soir.
TXT00341,en,Where can I buy?
TXT00128,pt,Quero ligar agora.
TXT00087,pt,Não quero dormir mais.
TXT00546,es,EL TREN LLEGA A LAS OCHO DE LA MAÑANA.
TXT00645,en,Good morning. I don't understand anything.
TXT00020,es,Tengo que comprar esta semana.
TXT00548,it,Il treno arriva alle otto del mattino.
TXT00523,it,Fa molto freddo oggi.
TXT00505,en,My name is Ana.
TXT00123,pt,Posso esperar aqui?
TXT00620,en,I have an important meeting on Monday afternoon.
TXT00686,es,El restaurante de la esquina es muy bueno y barato. Tengo una reunión importante el lunes por la tarde.
TXT00092,pt,Onde posso enviar?
TXT00474,fr,J'ai très faim.
TXT00056,es,No quiero comer más.
TXT00575,en,My sister lives in the city centre.
TXT00410,en,Sorry.
TXT00025,es,Necesito viajar hoy.
TXT00032,es,Quiero estudiar ahora.
TXT00412,pt,Tchau.
TXT00717,pt,Tchau. Quanto custa isto?
TXT00486,es,¿Cuánto cuesta esto?
TXT00314,en,I have to book this week.
TXT00541,es,No hablo bien el idioma.
TXT00678,it,Dov'è il bagno? Mia sorella vive nel centro della città.
TXT00449,fr,Je ne comprends rien.
TXT00633,it,Non so se riuscirò ad arrivare prima delle dieci di sera.
TXT00158,it,Devo cancellare questa settimana.
TXT00004,es,Me gustaría hablar pronto.
TXT00701,es,¿Cuánto cuesta esto? Buenos días.
TXT00206,it,Voglio leggere adesso.
TXT00114,pt,Não quero dirigir mais.
TXT00683,it,Ieri sono andato al mercato per comprare frutta fresca. Dov'è il bagno?!!
TXT00165,it,Devo studiare oggi.
TXT00172,it,Dove posso comprare?
TXT00460,en,Where is the bathroom?
TXT00126,pt,Vou pagar amanhã.
TXT00519,fr,Il fait très froid aujourd'hui.
TXT00037,es,¿Dónde puedo conducir?
TXT00658,it,Mi chiamo Ana. Quanto costa questo?
TXT00641,es,Buenos días. No entiendo nada.
TXT00659,fr,Je m'appelle Ana. Combien ça coûte?
TXT00576,es,Ayer fui al mercado para comprar fruta fresca.
TXT00420,en,GOODBYE.
TXT00394,fr,Merci.
TXT00488,it,Quanto costa questo?
TXT00500,en,How much is this?
TXT00155,it,Chiamare.
TXT00348,en,I will buy tomorrow.
TXT00305,en,Wait.
TXT00083,pt,Preciso pagar hoje.
TXT00430,en,How are you today?
TXT00423,it,Arrivederci.
TXT00015,es,¿Dónde puedo enviar?
TXT00572,pt,Minha irmã mora no centro da cidade.
TXT00366,es,Buenos días.
TXT00090,pt,Tenho que escrever esta semana.
TXT00104,pt,Onde posso pagar?
TXT00369,fr,Bonjour.
TXT00581,es,AYER FUI AL MERCADO PARA COMPRAR FRUTA FRESCA.
TXT00549,fr,Le train arrive à huit heures du matin.
TXT00030,es,Voy a esperar mañana.
TXT00268,fr,Je dois manger cette semaine.
TXT00653,it,Non parlo bene la lingua. Quanto costa questo?
TXT00045,es,Necesito jugar hoy.
TXT00001,es,No quiero comprar más.
TXT00513,it,Mi chiamo Ana.
TXT00681,es,Ayer fui al mercado para comprar fruta fresca. ¿Dónde está el baño?
TXT00293,en,WHERE CAN I SPEAK?
TXT00224,fr,Je ne veux plus dormir.
TXT00219,fr,Puis-je appeler ici?
TXT00716,es,Adiós. ¿Cuánto cuesta esto?
TXT00265,fr,Je veux écrire maintenant.
TXT00321,en,I want to send now.
TXT00176,it,Non voglio giocare più.
TXT00707,pt,Como você está hoje? Onde fica o banheiro?
TXT00389,fr,Merci.
TXT00264,fr,Où puis-je voyager?
TXT00563,it,Mia sorella vive nel centro della città.
TXT00673,it,MI DISPIACE. NON CAPISCO NIENTE.
TXT00429,fr,Comment ça va aujourd'hui?
TXT00248,fr,Puis-je lire ici?
TXT00540,en,I don't speak the language well.
TXT00450,en,I DON'T UNDERSTAND ANYTHING.
TXT00181,it,Voglio guidare adesso.
TXT00531,es,No hablo bien el idioma.
TXT00404,fr,Désolé.
TXT00022,es,Escribir.
TXT00187,it,Devo parlare oggi.
TXT00197,it,Devo guidare oggi.
TXT00185,it,Non voglio viaggiare più.
TXT00143,it,Dormire.
TXT00260,fr,Je vais travailler demain.
TXT00453,it,Non capisco niente.
TXT00200,it,Voglio scrivere adesso.
TXT00665,en,I DON'T UNDERSTAND ANYTHING. IT IS VERY COLD TODAY.
TXT00427,pt,Como você está hoje?
TXT00554,fr,Le train arrive à huit heures du matin.
TXT00100,pt,Onde posso jogar?
TXT00163,it,Vado a chiamare domani.
TXT00588,it,Ieri sono andato al mercato per comprare frutta fresca.
TXT00617,pt,Tenho uma reunião importante na segunda à tarde.
TXT00066,es,Leer.
TXT00594,fr,Le restaurant du coin est très bon et pas cher.
TXT00073,pt,Preciso comer hoje.
TXT00478,it,Ho molta fame.
TXT00327,en,I would like to speak soon.
TXT00141,it,Mi piacerebbe dormire presto.
TXT00350,en,Can I call here?
TXT00194,it,Non voglio lavorare più.
TXT00237,fr,Je dois lire aujourd'hui.
TXT00222,fr,Je dois voyager cette semaine.
TXT00230,fr,Je dois marcher cette semaine.
TXT00730,en,I am very hungry. The restaurant on the corner is very good and cheap.
TXT00317,en,Drive.
TXT00028,es,¿Puedo viajar aquí?
TXT00691,es,¿CÓMO ESTÁS HOY? ¿DÓNDE ESTÁ EL BAÑO?
TXT00379,fr,Bonjour.
TXT00454,fr,Je ne comprends rien.
TXT00586,es,Ayer fui al mercado para comprar fruta fresca.
TXT00646,es,¿Cómo estás hoy? Buenos días.
TXT00233,fr,Je dois réserver aujourd'hui.
TXT00650,en,How are you today? Good morning.
TXT00421,es,Adiós.
TXT00651,es,No hablo bien el idioma. ¿Cuánto cuesta esto?
TXT00218,fr,Je ne veux plus conduire.
TXT00558,it,Il treno arriva alle otto del mattino.
TXT00527,pt,Está muito frio hoje.
TXT00184,it,Voglio parlare adesso.
TXT00103,pt,Gostaria de jogar em breve.
TXT00526,es,Hace mucho frío hoy.
TXT00266,fr,Je vais attendre demain.
TXT00675,en,Sorry. I don't understand anything.
TXT00313,en,I would like to walk soon.
TXT00137,pt,Vou esperar amanhã.
TXT00277,fr,Où puis-je étudier?!
TXT00017,es,Tengo que hablar esta semana.
TXT00555,en,The train arrives at eight in the morning.
TXT00574,fr,Ma sœur habite au centre-ville.
TXT00543,it,Non parlo bene la lingua.
TXT00735,en,I don't know if I can arrive before ten in the evening. The train arrives at eight in the morning.
TXT00589,fr,HIER JE SUIS ALLÉ AU MARCHÉ POUR ACHETER DES FRUITS FRAIS.
TXT00283,en,Can I send here?
TXT00255,fr,Je ne veux plus envoyer.
TXT00654,fr,Je ne parle pas bien la langue. Combien ça coûte?
TXT00567,pt,Minha irmã mora no centro da cidade.
TXT00399,fr,Désolé.
TXT00112,pt,Quero viajar agora.
TXT00338,en,I have to wait this week.
TXT00364,fr,Salut.
TXT00711,es,Gracias. Buenos días.
TXT00278,fr,Je veux dormir maintenant.
TXT00029,es,Voy a caminar mañana.
TXT00279,fr,Je dois appeler aujourd'hui.
TXT00292,en,Sleep.
TXT00005,es,¿Puedo cancelar aquí?...
TXT00560,en,The train arrives at eight in the morning.
TXT00413,it,Arrivederci.
TXT00359,fr,Salut.
TXT00245,fr,Je ne veux plus marcher.
TXT00680,en,Where is the bathroom? My sister lives in the city centre.
TXT00159,it,Vado a lavorare domani.
TXT00024,es,¿Puedo llamar aquí?
TXT00316,en,Can I eat here?
TXT00655,en,I don't speak the language well. How much is this?
TXT00395,en,Thanks.
TXT00509,fr,Je m'appelle Ana.
